Key,Id,Shared Comments,English (United States)(en-US),English (United States)(en-US) Comments,Korean (South Korea)(ko-KR),Korean (South Korea)(ko-KR) Comments
ui_play_auto_progress_description,,,"Move on to the next level subsequently. If you active this button, the next level game will proceed sequentially when you clear the game (if the next stage condition is met). You can quit the game at any time. ",,다음 난이도 훈련 순차 진행. 이 버튼을 활성화하면 게임을 클리어 할 시 (스테이지 오픈조건 충족 시) 다음 난이도 단계의 게임이 순차적으로 진행됩니다. 게임을 그만두고 싶을 땐 언제든지 종료할 수 있습니다.,
ui_play_auto_repeated_title,,,"Auto-repeat on, Auto-repeat off",,"자동반복 켜기, 자동반복 끄기",
ui_play_auto_progress_title,,,"Sequential progress on, sequential progress off",,"순차진행 켜기, 순차진행 끄기",
ui_tutorial_progress_comments,,,Well-done. Shall we try again? Well done. It's real stage now! Wrong. Shall we try again? ,,"잘했습니다. 한번 더 해볼까요?, 잘했습니다. 이제 실전입니다!, 틀렸습니다. 다시 한번 해볼까요?",
ui_play_progress_results,,,Well-done. Shall we try again with focus? A little disappointing! Good job! Very well! ,,"잘했어요!, 집중해서 다시 해볼까요?, 조금 아쉬워요!, 잘했어요!, 아주 훌륭해요!",
ui_inputfield_mobile_invalid,,,"The number you have entered is not in service, verification number will be sent shortly to the cellphone number you have entered, please enter the 6-digit verification code, please check your phone number, please correct if the verification number is correct and try again, verification is complete ",,"서비스 불가한 번호입니다, 입력하신 핸드폰으로 인증번호가 곧 전송됩니다, 인증번호 여섯 자리를 입력해주세요, 휴대폰 번호를 확인해주세요., 인증번호가 맞는지 확인하시고 다시 입력해주세요, 인증 완료",
ui_inputfield_id_invalid,,,"Please check {0} again, special characters cannot be used, enter {0}, {0} must be at least two characters, {0} must be less than 30 characters. ",,"{0}을 확인해 주세요, 특수문자를 사용 할 수 없습니다, {0}을 입력하세요, {0}은 두 글자 이상 입력해주세요, {0}은 30자 미만으로 입력해주세요",
ui_inputfield_name_types,,,"Nickname, ID, Name",,"닉네임, 아이디, 이름",
ui_inputfield_birth_date_invalid,,,"Please check your date of birth, Enter your date of birth as 8 digits, The date of birth cannot be a negative number, The year of birth cannot be later than the present, The date of birth cannot be earlier than 1910, According to the Article 31 of the Act on Promotion of Information and Communications Network Utilization and Information Protection, etc., persons under the age of 14 without the consent of a legal representative cannot register as members, The month of birth must be a number between 1 and 12, The birthday must be a number between 1 and 31.",,"출생년도를 확인해주세요, 생년월일을 8 자릿수로 입력해주세요, 생년은 음수가 될 수 없습니다, 생년은 현재보다 나중일 수 없습니다, 생년은 1910 년보다 이전일 수 없습니다, 정보통신망 이용촉진 및 정보보호 등에 관한 법률 제 31 조에 의거하여 법정대리인의 동의가 없는 14 세 미만자는 회원가입이 불가합니다, 생월은 1 ~ 12 사이의 숫자여야 합니다, 생일은 1 ~ 31 사이의 숫자여야 합니다",
ui_information_education_invalid,,,"Please enter 0 if not applicable, Year of education cannot be a negative number, Year of education cannot exceed 50, Please select your highest level of education",,"이력이 없을 경우 0 을 입력해주세요, 햇수는 음수가 될 수 없습니다, 햇수는 50 을 넘을 수 없습니다, 최종학력을 선택해주세요",
ui_inputfield_password_invalid,,,"Please enter a password of at least 4 characters, Password verification failed",,"비밀번호를 확인해주세요, 비밀번호 확인에 실패하였습니다",
ui_information_password_changed,,,Password change is completed.,,비밀번호 변경이 완료되었습니다.,
suffix_gamepass_label,,,Smartcare passes of {0},,<b>{0}님의</b> 스마케어 이용권,
prefix_gamepass_date,,,"Payment date, Expiration date",,"결제일, 만료일",
ui_purchase_history_not_found,,,There is no record of payment.,,결제 내역이 없습니다,
ui_progress_completions,,,"Complete, Incomplete",,"완료, 미완료",
ui_points,,,points,,점,
ui_information_education_label,,,Please select your education background.,,학력을 선택해주세요,
ui_information_today_training_complete,,,Today's training is complete!,,오늘의 훈련 완료!,
ui_report_recommendation,,,Need to focus on {0} type of game. ,,{0} 위주의 게임을 더 해야 합니다,
ui_report_encourage_result,,,{0}is excellent! {1} requires more work. ,,{0}이 훌륭해요! {1}은 노력이 필요해요,
suffix_user_age,,,{0} age,,{0] 대,
ui_report_summary_failed,,,Unable to calculate your brain age. ,,당신의 두뇌 나이를 산출할 수 없습니다,
ui_report_history_not_enough,,,There is no or insufficient play history. ,,플레이한 내역이 없거나 부족합니다,
ui_report_infer_age,,,Your cognitive status is estimated to be {0} age.,,당신의 인지상태는 {0}대로 추정됩니다.,
ui_report_encourage_teenagers,,,"It is known that brain works the fastest in the teenage years. Since this is the age when the brain processes information the fastest, you will be able to achieve the average cognitive function of your peers in a short period of time.  ",,가장 두뇌회전이 빠른 나이가 10대라고 합니다. 두뇌의 정보처리 속도가 가장 빠른 시기인만큼 인지훈련 콘텐츠를 집중하여 수행하면 빠른 시일 내에 또래의 평균 인지능력을 가질 수 있게 될 것으로 보입니다.,
ui_report_encourage_normal_comment_0,,,Your cognitive function is estimated to be similar to your peers. Do not neglect brain training for the future!,,인지능력은 또래와 비슷한 수준으로 추정됩니다. 앞으로의 미래를 위하여 두뇌훈련을 게을리 하지 마세요!,
ui_report_encourage_normal_comment_1,,,Your cognitive function is perfectly normal! You have the brain to process everything with confidence. Congratulation! Try to maintain your current state by continuing to practive cognitive training. ,,당신의 인지능력은 지극히 정상! 입니다. 자신감 있게 모든 일을 처리할 수 있는 뇌를 가지셨습니다. 축하합니다! 인지훈련을 지속적으로 시행해서 현재의 상태를 유지할 수 있도록 노력해 보세요.,
ui_report_encourage_good_comment_0,,,"You belong to the higher group compared to the average of your peer group. Since you have good abilities, it is important to maintain those abilities. Let's maintain the healthy condition through constant management. ",,또래집단 평균에 비해 상위집단에 속해 있습니다. 좋은 능력을 지녔다면 그 능력을 유지하는 것도 중요합니다. 꾸준한 관리를 통해 건강한 상태를 유지합시다.,
ui_report_encourage_good_comment_1,,,Amazing. Your brain cells are actively transmitting information! The connections between brain cells are very good! Let's keep up the cognitive function with consistent training! ,,"놀랍습니다. 당신의 뇌세포는 활발하게 정보를 전달하고 있어요! 뇌세포간 연결이 매우 잘 되어 있습니다! 꾸준한 훈련을 통해서 인지 상태를 유지합시다!""",
ui_report_encourage_good_comment_2,,,Amazing. You have a good cognitive function and excesllent task processing ability. It is an ability to maintain the good cognitive ability. Train your cognitive function consistently! ,,"놀랍습니다. 당신은 좋은 인지능력을 갖고 있고, 과제처리 능력도 뛰어납니다. 좋은 인지능력을 갖고 있다면 그것을 지키는 것도 능력입니다. 인지훈련을 꾸준히 이용하세요!""",{0} 무시
ui_report_encourage_bad_comment_0,,,Your cognitive function is estimated to be low overall. It is necessary that you train your cognitive function consistently to develop each category evenly.  ,,인지능력이 전체적으로 낮은 상태로 추정됩니다. 인지 훈련을 꾸준하게 실시하여 각각의 영역을 균일성 있게 발달시킬 필요성이 있습니다.,
ui_report_encourage_bad_comment_1,,,"Your cognitive function is below the average of your age group. You may not have any problem in performing your work or maintaining your daily life, but your brain cells need exercise! Let's use cognitive training to keep your brain healthy. ",,"당신의 인지능력은 그 나이대에 비해서 떨어진다고 분석됩니다. 직장에서 업무를 수행하거나 일상생활에는 지장이 없겠지만, 당신의 뇌세포는 운동이 필요합니다! 인지훈련을 이용하여 뇌 건강을 지킵시다.",
ui_report_encourage_bad_comment_2,,,"The analysis shows that your cognitive ability is lower than that of your age. You need constant and persistent cognitive training. Train your cognitive function consistently, and focus on tasks that require more work. ",,"분석 결과 당신의 인지능력은 그 나이대에 비하여 떨어집니다. 주기적이고 지속적인 인지훈련이 필요합니다. 인지 훈련을 꾸준히 이용하시고, 부족한 영역의 과제를 집중수행 하시는 걸 추천합니다.","{0} , {1} 무시"
ui_report_encourage_good_comment_3,,,You have a very good cognitive function. ,,당신은 매우 좋은 인지능력을 지녔습니다.,
ui_report_encourage_normal_comment_2,,,"Your cognitive ability is generally good. If you perform cognitive training that allows you to focus on tasks that are low in cognitive function, it will be of great help in maintaining brain health. ",,인지능력은 전체적으로 양호한 편입니다. 인지능력이 떨어지는 영역의 과제들을 집중적으로 수행할 수 있는 인지훈련을 진행하시면 뇌 건강을 유지하는데 큰 도움이 될 것입니다.,"{0} 무시, {0}은 나이입니다. Ex. 10대 , 20대 "
ui_report_encourage_good_comment_4,,,"The connections between brain cells in your brain are well-connected, and each area is well-activated. Congratulation!",,"당신의 두뇌는 충분히 뇌세포 간 연결이 잘 이루어져 있고, 두뇌 영역별 활성화가 잘 이루어져 있습니다. 축하합니다!""",
ui_report_encourage_bad_comment_3,,,"Your cognitive function is below the average of your peer group. Through cognitive training, you should focus on improving your cognitive abilities in areas where you are lacking, and deliberately implement training for each area. ",,"당신의 인지능력은 또래집단 보다 저하되어 있는 상태입니다. 인지훈련을 통하여 부족한 영역의 인지능력을 집중적으로 향상시키고, 계획적으로 각 영역별 훈련을 실시해야 합니다.",
ui_report_encourage_normal_comment_3,,,"Generally, cognitive decline becomes noticeable from the age of 50. Your brain health is currently at a good level. Let's keep up the current state through cognitive training, and maintain healthy brain! ",,보편적으로 50대부터 인지능력의 저하가 눈에 띄게 나타나기 시작합니다. 지금 당신의 뇌 건강은 양호한 수준입니다. 인지훈련을 실시하여 현재 상태를 유지하여 건강한 뇌 건강을 지켜나갑시다!,{0} 무시
ui_report_encourage_good_comment_5,,,"You have a higher cognitive function compared to that of same age group. Your brain is well-activated, and can very easily perform tasks in each category. It is advised that you conduct cognitive training consistently to maintain the good cognitive function. ",,"당신은 동 나이대의 일반인들에 비해 상위의 인지능력을 갖고 있습니다. 뇌 활성화가 잘 되어 있고,  각 영역별 과제들을 매우 쉽게 수행할 수 있는 능력입니다. 좋은 인지능력을 꾸준하게 유지하게 위해서 인지훈련을 주기적으로 실시하시는 것을 권장합니다.",
ui_report_encourage_bad_comment_4,,,"The analysis shows that your overall cognitive function is at a low score. When there is cognitive decline, you should immediately start training to delay the decline; thus, intensive and multiple training sessions are recommended. ",,"뇌 건강 분석 결과 당신의 인지능력은 전체적으로 하위점수를 기록하였습니다. 인지능력 저하가 나타났을 때, 훈련을 바로 수행해야 저하를 지연시킬 수 있기 때문에, 집중적이고 다발적인 훈련을 권장합니다.",
ui_report_encourage_normal_comment_4,,,"Your cognitive function is generally good. Some forgetfulness, forgetting words, forgetting the location of objects can happen commonly at this age. Let's train the cognitive ability to delay brain cell aging and maintain healthy brain. ",,"당신의 인지능력은 전체적으로 양호합니다. 약간의 건망증, 단어 망각, 물건 위치 망각 등은 이 나이대에서 흔하게 일어날 수 있는 현상입니다. 인지훈련을 실시하여 뇌세포 노화를 지연시키고 뇌 건강을 지켜나갈 수 있도록 합시다.",
ui_report_encourage_good_comment_6,,,"Your cognitive function is outstanding even when compared to teenagers. However, since you are elderly, your brain cells are aging. In order to delay aging and maintain healthy brain cells like now, it is recommended that you consistently perform cognitive training. ",,당신의 인지능력은 {1}0대와 비교해도 손색이 없을 정도로 뛰어납니다. 하지만 연세가 있으신 만큼 뇌세포의 노화는 진행 중입니다. 노화를 지연시키고 지금같은 건강한 뇌세포를 유지하기 위해서는 인지훈련을 꾸준하게 실시하는 것을 권장합니다.,
ui_report_encourage_bad_comment_5,,,"Your cognitive function has declined significantly. To delay brain cell aging, it is strongly recommended that you focus on cognitive training for at least one hour a day. ",,인지능력이 현저히 떨어져 있습니다. 뇌세포 노화를 지연시키기 위해서는 최소 하루에 한시간은 인지훈련을 집중하여 수행하는 것을 강력히 권장합니다,
ui_report_encourage_normal_comment_5,,,"Your brain health is good compared to that of your peer group. However, since you have entered the stage where cognitive aging is progressing, it is strongly recommended that you perform cognitive training consistently for about an hour every day. ",,"당신의 뇌건강은 또래집단에 비교했을 때 양호한 수준입니다. 하지만 인지노화가 진행되고 있는 단계에 접어들었으니, 인지훈련을 주기적으로, 하루 한시간 정도 매일 진행하는 것을 강력히 권장합니다.",
ui_report_encourage_good_comment_7,,,Congratulation. Your brain health is at a level similar to that of {0}. It is a very good news that cognitive aging is appearing slowly. It is recommended that you perform repeated cognitive training to delay cognitive aging. ,,축하합니다. 당신의 뇌건강은 {1}0대의 뇌건강과 비슷한 수준입니다. 인지노화가 느리게 나타나고 있다는 것은 매우 좋은 소식입니다. 인지노화의 지연을 위하여 반복적인 인지훈련 실시를 권장합니다.,
ui_report_encourage_bad_comment_6,,,Your cognitive function is estimated to be very low. Immediate therapeutic intervention by a specialist is necessary and consistent use of cognitive training is essential. Multiple use of cognitive training is strongly recommended. ,,인지능력이 심각하게 떨어져 있는 상태로 추정됩니다. 전문가의 조속한 치료적 개입이 필요하고 인지훈련의 꾸준한 사용이 필수적인 상황입니다. 인지훈련의 다발적 사용을 강력히 권장합니다.,
ui_report_encourage_normal_comment_6,,,"Your cognitive function is good compared to that of your peer group. However, since cognitive aging is in progress in the 80s, symptoms like forgetfulness, forgetting words, forgetting location of objects can become severe. It is strongly recommended that you train cognitive ability consistently. ",,"당신의 인지능력은 동년배와 비교하였을 때 양호합니다. 그러나 80대의 경우 인지능력의 노화가 계속 진행되고 있으니, 건망증, 단어 망각, 물건 위치 망각 등의 증세가 심해질 수도 있습니다. 인지훈련을 꾸준하게 진행하시길 강력히 권장합니다.",
ui_report_encourage_good_comment_8,,,"Congratulation. Your brain health is at a level similar to that of {0}. Compared to the cognitive abilities of your peers, you can assume that your cognitive aging is progressing slowly. To maintain this, we recommend performing repetitive cognitive training. ",,축하합니다. 두뇌 나이 분석 결과 당신의 인지능력은 {1}0대로 나타났습니다. 동년배들의 인지능력에 비교했을 때 당신은 인지노화가 느리게 진행되고 있다고 추정할 수 있습니다.이를 유지하기 위해서 반복적인 인지훈련 실시를 권장합니다.,
ui_report_encourage_bad_comment_7,,,Your cognitive status is estimated to be significantly low. Immediate therapeutic intervention by a specialist is necessary and consistent use of cognitive training is essential. Multiple use of cognitive training is strongly recommended. ,,"당신의 인지상태는 현저하게 떨어져 있는 수준으로 추정됩니다.
전문가의 조속한 치료적 개입이 필요하고 인지훈련의 꾸준한 사용이 필수적인 상황입니다. 인지훈련의 다발적 사용을 강력히 권장합니다.",
ui_report_encourage_normal_comment_7,,,"Your cognitive function is good compared to that of your peer group. However, since cognitive aging is in progress in the 90s, symptoms like forgetfulness, forgetting words, forgetting location of objects can become severe. It is strongly recommended that",,"당신의 인지능력은 동년배와 비교하였을 때 양호합니다. 그러나 90대의 경우 인지능력의 노화가 계속 진행되고 있으니, 건망증, 단어 망각, 물건 위치 망각 등의 증세가 심해질 수도 있습니다. 인지훈련을 꾸준하게 진행하시길 강력히 권장합니다.",
ui_report_encourage_good_comment_9,,,"Congratulation. Your brain health is at a level similar to that of {0}. Compared to the cognitive abilities of your peers, you can assume that your cognitive aging is progressing slowly. To maintain this, we recommend performing repetitive cognitive training. ",,축하합니다. 두뇌 나이 분석 결과 당신의 인지능력은 {0}0대로 나타났습니다. 동년배들의 인지능력에 비교했을 때 당신은 인지노화가 느리게 진행되고 있다고 추정할 수 있습니다.이를 유지하기 위해서 반복적인 인지훈련 실시를 권장합니다.,
ui_play_game_names,,,"Memory Pang Pang, Colorful OX, Guess the name, Addition/Subtraction, Find the different shape, What card should I get?, Let's dig for gems, Find the other direction, Word catching, How much is it?, Doctor's walk, Matching, Complete the proverb, Press the button, Who is it?, Where is it? ",,"메모리 팡팡, 알록달록 OX, 이름 알아 맞추기, 더하기 빼기, 다른 모양 찾기, 무슨 패를 먹을까?, 누가 더 클까?, 검은 돌을 찾아라!, 어느쪽 손일까, 보석을 캐자, 다른 방향을 찾아라, 단어잡기, 얼마일까요, 닥터의 산책, 짝맞추기, 속담 완성하기, 버튼을 눌러라, 누구일까요, 어디에 있을까",
ui_report_reaction_time,,,The response time of {0} is {1},,{0}님의 반응시간은 {1}입니다.,
suffix_times,,,"minute, second",,"분, 초",
suffix_name,,,{0} is,,{0} 님은,
ui_low_rank,,,{0}% behind,,{0}% 뒤에 있습니다.,
ui_high_rank,,,{0}% ahead,,{0}% 앞서 있습니다.,
ui_approximately,,,Same as your peers,,친구들과 같습니다,
ui_return_main,,,Return to main page,,메인으로,
ui_current_rank,,,Your current rank is {0}th place,,{0}등 입니다,
ui_courage_for_low_rank,,,You have to work very hard. Let's train 10 minutes every day to reach the top!,,매우 노력하셔야 해요. 하루 10분씩 훈련해서 차근차근 정상까지 올라가보아요!,
ui_courage_for_half_rank,,,You cannot be reassured now. Let's train a little harder and go higher! ,,아직 안심할 수 없어요. 조금 더 열심히 훈련해서 높이 올라가봐요!,
ui_courage_for_high_rank,,,Good job. You have to train consistently since it is easy to get tired at this stage. ,,잘하고 있어요. 하지만 지치기 쉬운 구간이니 꾸준한 인지 훈련이 필요하답니다.,
ui_courage_for_top_rank,,,Very good! Let's keep up the good work and reach the top!,,아주 훌륭해요! 조금만 더 노력해서 정상까지 가보기로 해요!,
ui_courage_for_the_one,,,Congratulation! You reached the top. Keep training consistently to maintain this rank.,,축하합니다! 정상에 올랐어요. 이 등수를 유지하기 위해 꾸준히 훈련을 반복해주세요!,
ui_game_abilities,,,"Memory, Language, Calculation, Attention, Spatial perception, Processing speed, Problem solving",,"기억력, 언어력, 계산력, 주의집중력, 공간지각력, 처리속도, 문제해결력",{0} 무시
ui_ages,,,"All, Age 10-19, Age 20-29, Age 30-39, Age 40-49, Age 50-59, Age 60-69, Age 70-79, Age 80-89, Age 90-99",,"전체 이용자, 10 대, 20 대, 30 대, 40 대, 50 대, 60 대, 70 대, 80 대, 90 대",Ex. (당신은) 50% 앞서 있습니다
ui_greet_comment,,,"{0}, Welcome!",,"님, 환영합니다!",
ui_request_diagnosis,,,"{0}, Shall we start with a dementia diagnosis once you are ready?",,"님, 준비되셨다면 치매 진단부터 해볼까요 ?",
ui_failed_purchase,,,Purchase failed,,구매에 실패하였습니다.,
ui_success_recovery_purchase,,,Your purchase history has been restored,,구매 내역을 복원하였습니다.,
ui_failed_recovery_purchase,,,Your purchase history has not been restored,,구매 내역을 복원하지 못하였습니다.,
ui_reject_purchase,,,Unable to purchase,,구매가 불가능합니다,
ui_no_products_available,,,No product is available for purchase,,구매할 수 있는 제품이 없습니다,
ui_invalidated_app,,,Application is unknown,,앱이 알려지지 않았습니다,
ui_request_retry_purchase,,,Payment time has elapsed. Please try again.,,결제 대기 시간이 경과하였습니다. 다시 시도해주세요.,
ui_already_purchase,,,This item has already been purchased. ,,이미 구매한 상품입니다.,
ui_check_account,,,Please try again after checking your account. ,,계정 확인 후 다시 시도해주세요.,
ui_buy_30_days,,,"1-month pass, 1-month pass purchase completed (30 days)",,"1개월 이용권, 1 개월 이용권 구매 완료 (30 일)",
ui_buy_90_days,,,"3-month pass, 3-month pass purchase completed (90 days)",,"3개월 이용권, 3 개월 이용권 구매 완료 (90 일)",
ui_buy_365_days,,,"1-year pass, 1-year pass purchase completed (365 days)",,"1년 이용권, 1 년 이용권 구매 완료 (365 일)",
ui_buy_infinity,,,"Unlimited pass, Unlimited pass purchase completed",,"무제한 이용권, 무제한 이용권 구매 완료",
ui_purchasing_unavailable,,,Unable to purchase,,구매가 불가합니다,
ui_existing_purchase_pending,,,Your existing purchase is on hold,,기존 구매가 보류중입니다,
ui_product_unavailable,,,This product is unavailable,,사용할 수 없는 제품입니다,
ui_signature_invalid,,,Authentication is invalid. Please log in again. ,,인증이 유효하지 않습니다. 재 로그인해주세요,
ui_purchase_cancelled,,,Purchase is cancelled. ,,구매가 취소되었습니다,
ui_payment_declined,,,Payment is declined. ,,결제가 거부되었습니다.,
ui_duplicated_transaction,,,Transaction is duplicated.,,거래가 중복되었습니다,
ui_unknown,,,Unknown error,,알수없는 오류가 발생하였습니다,
ui_already_infinity,,,You have already purchased the unlimited pass. ,,이미 무제한 이용권을 구매하셨습니다.,
ui_date_format,,,"Available until yyyy year, MM month, dd day",,yyyy 년 MM 월 dd 일까지 사용 가능합니다,
prefix_unlimited_available,,,Without a deadline,,기한의 정함이 없이,
ui_request_valid_coupon_length,,,The number of coupon is an 8-digit number. Please check again. ,,쿠폰 번호는 총 8 자리 입니다. 다시 확인해주세요.,
suffix_register_game_pass,,,{0} has been registered. ,,{0}이 등록되었습니다.,
ui_start_today_training,,,Today's training begin,,오늘의 훈련 시작,
ui_completed_today_training,,,Today's training completed,,오늘의 훈련 완료,
ui_ready_today_training,,,Today's training is ready. ,,오늘의 훈련이 준비되었습니다.,
ui_courage_next_training,,,Good job. Begin the next exercise. ,,잘하셨습니다. 다음 훈련을 시작하세요.,
ui_complement_training,,,Excellent. Please keep going! ,,훌륭합니다. 계속 진행하세요!,
ui_focusing_training,,,Almost done. Please focus. ,,거의 끝나갑니다. 집중해주세요.,
ui_guide_last_training,,,Good job. This is the last training session. ,,잘하셨습니다. 이제 마지막 훈련입니다.,
ui_direct_input,,,Input directly,,직접 입력,
ui_change_email,,,Change email address. ,,이메일 변경하기,
ui_register_email,,,Register email address.,,이메일 등록하기,"yyyy,mm,dd 를 그대로 표기해주시면 됩니다."
ui_no_exist_email,,,There is no registered email adress. ,,등록된 이메일이 없습니다.,
ui_alarm_ready,,,Getting ready. ,,준비중입니다,
ui_request_register_email,,,Please register email address. ,,이메일을 등록해주세요,
ui_quit_quiz,,,End of the quiz,,퀴즈종료,
ui_dementia_quiz_0,,,Can dementia be prevented? ,,치매는 예방할 수 있다?,
ui_dementia_quiz_0_explain,,,"Yes, dementia can be prevented!",,치매는 예방 할 수있답니다!,
ui_dementia_quiz_0_summary,,,It is possible to prevent dementia. ,,치매는 예방이 가능합니다.,
ui_dementia_quiz_1,,,Dementia is untreatable. ,,치매는불치병이다,
ui_dementia_quiz_1_explain,,,Dementia can be cured and delayed! ,,치매는고치거나 지연 시킬 수 있어요!,
ui_dementia_quiz_1_summary,,,Dementia is not an incurable disease. ,,치매는 불치병이 아니에요.,
ui_dementia_quiz_2,,,Cognitive training can be helpful in preventing dementia. ,,인지훈련은 치매 예방에 도움이 된다,
ui_dementia_quiz_2_explain,,,"If you train your cognitive abilities diligently, it can help prevent dementia!",,"인지훈련을 열심히하면 치매 예방에 도움이 돼요!""",
ui_dementia_quiz_2_summary,,,Cognitive training can prevent dementia. ,,인지훈련으로 치매 예방이 가능해요.,
ui_dementia_quiz_3,,,Women are more likely to develop dementia compared to men,,여자가 남자보다 치매에 더 잘 걸린다,
ui_dementia_quiz_3_explain,,,It is known that women are more likely to develop dementia than men. The ratio is known to be 6.5(female):3.5(male).,,여자가 남자보다 치매에 더 많이 걸린다고 해요. 6.5(여성):3.5(남성) 비율이라고 하네요.,
ui_dementia_quiz_3_summary,,,Women are more likely to develop dementia. ,,여자가 치매에 더 잘 걸려요.,
ui_dementia_quiz_4,,,Dementia is the name of a disease.,,치매는 질병의 이름이다,
ui_dementia_quiz_4_explain,,,"Dementia is not the name of a disease, but a symptom. Just like a cold is a disease, but cough is a symptom!",,"치매는 질병의 이름이 아니라 하나의 질환입니다. 감기가 질병이라면, 기침이 질환인 것 처럼요!",
ui_dementia_quiz_4_summary,,,Dementia is not a disease. ,,치매는 질병이 아니에요.,
ui_dementia_quiz_5,,,"If forgetfulness becomes severe, it becomes dementia. ",,건망증이 심해지면 치매가 된다,
ui_dementia_quiz_5_explain,,,"It does not mean you get dementia because your forgetfulness becomes severe. If you don't remember what you ate for lunch, you may be forgetful. If you don't remember whether or not you ate lunch, you may be at risk for dementia. ",,"건망증이 심해져서 치매가 되는 건 아닙니다. 점심에 무엇을 먹었는지 기억이 안 나면 건망증, 점심을 먹었는지가 기억이 안 난다면 치매 위험이 있다고 볼 수 있습니다.",
ui_dementia_quiz_5_summary,,,Severe forgetfulness does not necessarily mean dementia.,,건망증이 심하다고 치매는 아니에요.,
ui_dementia_quiz_6,,,Smoking increases the risk of dementia by about 2 times.. ,,흡연은 치매의 위험성을 약 2배 높인다,
ui_dementia_quiz_6_explain,,,Smoking increases the risk of dementia two-fold!,,흡연은 치매의 위험을 두 배나 높인답니다!,
ui_dementia_quiz_6_summary,,,Smoking doubles the risk of dementia. ,,흡연은 치매 위험을 두 배 높여요.,
ui_dementia_quiz_7,,,Depression increases the risk of dementia by about 3 times. ,,우울증은 치매의 위험성을 약 3배 높인다,
ui_dementia_quiz_7_explain,,,Depression increases the risk of dementia by three times!,,우울증은 치매의 위험성을 세 배나 높인답니다!,
ui_dementia_quiz_7_summary,,,Dementia can increase the risk of dementia by three times. ,,우울증은 치매 위험을 세 배 높여요.,
ui_dementia_quiz_8,,,Thinking positively can affect dementia prevention. ,,긍정적으로 생각하는 것은 치매 예방에 영향을 미친다,
ui_dementia_quiz_8_explain,,,You can prevent dementia by making a habit of thinking positively!,,긍정적으로 생각하는 습관을 들이면 치매를 예방 할 수 있습니다!,
ui_dementia_quiz_8_summary,,,It is important to think positively in dementia. ,,치매는 긍정적으로 생각하는 것이 중요해요.,
ui_dementia_quiz_9,,,Getting enough sleep is not associated with dementia prevention. ,,숙면하는 것은 치매 예방과 관련이 없다,
